County,pop_density,Total_votes,TOTAL VOTERS,AI,AP,BH,HP,WH,OT,UK,BidenVoteShare,TrumpVoteShare,Turnout,voteChange,TurnoutChange,Median household income,Education,senior,youth,old_margin,new_margin,margin_change,past_result,current_result,urbanicity,in_atlanta_metro,Turnout2016
Emanuel,33.39847194,9501,13844,0.09,0.34,28.62,0.88,60.75,0.58,8.75,30.35,68.95,68.63,21.11,7.26,30205,17.8,24.11875181,19.71251084,-36.97,-38.6,-1.63,Rep,Rep,Rural,No,61.37
Evans,59.43669675,4247,6148,0.11,0.55,26.06,2.33,62.02,0.94,7.99,31.17,68,69.08,17.91,3.97,40796,20.5,24.43070917,19.37215355,-35.37,-36.83,-1.46,Rep,Rep,Rural,No,65.11
Fannin,61.10881258,14850,20399,0.33,0.32,0.25,0.79,92.44,0.62,5.25,17.31,81.95,72.8,26.09,5.99,34145,24.9,33.88401392,14.02519731,-65.46,-64.64,0.82,Rep,Rep,Rural,No,66.81
Fayette,555.3668828,69245,92427,0.18,2.52,22.74,3.07,58.69,1.88,10.92,46.12,52.53,74.92,14.58,4.16,82216,53.4,23.94213812,19.89245567,-19.46,-6.41,13.05,Rep,Rep,Suburban,Yes,70.76
Floyd,188.554843,38588,60749,0.14,0.93,12.6,2.92,74.05,0.79,8.56,28.43,70.28,63.52,12.31,1.45,41066,26.6,23.88516683,20.49581063,-43.53,-41.85,1.68,Rep,Rep,Suburban,No,62.07
Forsyth,845.0763325,129305,164279,0.22,7.59,3.37,3.72,64.16,1.89,19.06,32.64,65.83,78.71,32.75,7.34,56709,55.3,18.08447824,19.68663067,-47.62,-33.19,14.43,Rep,Rep,Suburban,Yes,71.37
Franklin,84.3250478,10765,15170,0.16,0.69,6.56,1.02,84.24,0.67,6.66,14.8,84.25,70.96,27.04,5.18,36739,20,23.8431114,19.63085036,-68.57,-69.45,-0.88,Rep,Rep,Rural,No,65.78
Fulton,1836.393673,524659,808742,0.2,3.55,42.25,2.77,37.82,2.47,10.94,72.65,26.16,64.87,21.84,7.8,87605,55.6,15.37264047,24.93959755,41.64,46.49,4.85,Dem,Dem,Urban,Yes,57.07
Gilmer,66.6783889,16525,22315,0.22,0.36,0.34,2.59,90.06,0.8,5.62,17.74,81.26,74.05,29.76,6.4,36741,25.3,33.15706924,15.55455971,-66.84,-63.52,3.32,Rep,Rep,Rural,No,67.65
Glascock,21.4693196,1566,2040,0.05,0.25,6.13,0.1,88.92,0.39,4.17,9.9,89.59,76.76,12.66,4.56,37149,12.7,23.62745098,18.97058824,-78.92,-79.69,-0.77,Rep,Rep,Rural,No,72.2
